Название,Текущая цена,Старая цена,Скидка,Рейтинг,Отзывы,Категория,Ссылка,Скидка_тг,Ценовой_сегмент,Индекс_популярности
"цепь длина 55 см бижутерный сплав, медицинская сталь без вставок",269,269,0%,0,0,all,https://kaspi.kz/shop/p/tsep-dlina-55-sm-bizhuternyi-splav-meditsinskaja-stal-bez-vstavok-118441261/?c=750000000,0,Бюджет,0
"цепь stainless steel длина 45 см титан, медицинская сталь без вставок",258,258,0%,0,0,all,https://kaspi.kz/shop/p/tsep-stainless-steel-dlina-45-sm-titan-meditsinskaja-stal-bez-vstavok-116336036/?c=750000000,0,Бюджет,0
цепь длина 45 см титан без вставок,163,163,0%,0,0,all,https://kaspi.kz/shop/p/tsep-dlina-45-sm-titan-bez-vstavok-113611648/?c=750000000,0,Бюджет,0
"серьги медицинская сталь, агат, эпоксидная смола",303,303,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-meditsinskaja-stal-agat-epoksidnaja-smola-113268242/?c=750000000,0,Бюджет,0
"stainless steel bka 4510012 длина 23 см текстиль, титан, без вставок",593,593,0%,0,0,all,https://kaspi.kz/shop/p/stainless-steel-bka-4510012-dlina-23-sm-tekstil-titan-bez-vstavok-131612572/?c=750000000,0,Средний,0
"конго базовая коллекция титан, нержавеющая сталь, медицинская сталь, стразы",493,493,0%,0,0,all,https://kaspi.kz/shop/p/kongo-bazovaja-kollektsija-titan-nerzhavejuschaja-stal-meditsinskaja-stal-strazy-116571938/?c=750000000,0,Средний,0
"серьги лето 2025 текстиль, жемчуг",371,371,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-leto-2025-tekstil-zhemchug-140625548/?c=750000000,0,Бюджет,0
"конго xuping jewelry базовая коллекция медицинское золото, без вставок",884,884,0%,0,0,all,https://kaspi.kz/shop/p/kongo-xuping-jewelry-bazovaja-kollektsija-meditsinskoe-zoloto-bez-vstavok-120599407/?c=750000000,0,Средний,0
"кафф fashion jewelry n бижутерный сплав, стекло",195,195,0%,0,0,all,https://kaspi.kz/shop/p/kaff-fashion-jewelry-n-bizhuternyi-splav-steklo-106419417/?c=750000000,0,Бюджет,0
цепь длина 50 см бижутерный сплав страз,177,177,0%,0,0,all,https://kaspi.kz/shop/p/tsep-dlina-50-sm-bizhuternyi-splav-straz-118767500/?c=750000000,0,Бюджет,0
"кольцо размер регулируемый бижутерный сплав, жемчуг, стразы",314,314,0%,0,0,all,https://kaspi.kz/shop/p/kol-tso-razmer-reguliruemyi-bizhuternyi-splav-zhemchug-strazy-109769760/?c=750000000,0,Бюджет,0
"серьги базовая коллекция бижутерный сплав, без вставок",237,237,0%,0,0,all,https://kaspi.kz/shop/p/ser-gi-bazovaja-kollektsija-bizhuternyi-splav-bez-vstavok-120947298/?c=750000000,0,Бюджет,0
"shiny длина 20 см бижутерный сплав, титан, горный хрусталь",313,313,0%,0,0,all,https://kaspi.kz/shop/p/shiny-dlina-20-sm-bizhuternyi-splav-titan-gornyi-hrustal--134318058/?c=750000000,0,Бюджет,0
"larey 087767888 длина 23 см бижутерный сплав, натуральный камень, бисер, жемчуг, коралл",999,999,0%,0,0,all,https://kaspi.kz/shop/p/larey-087767888-dlina-23-sm-bizhuternyi-splav-natural-nyi-kamen-biser-zhemchug-korall-120150660/?c=750000000,0,Премиум,0
"кольцо adaline 0049 размер регулируемый бижутерный сплав, стекло, стразы",263,263,0%,0,0,all,https://kaspi.kz/shop/p/kol-tso-adaline-0049-razmer-reguliruemyi-bizhuternyi-splav-steklo-strazy-137747188/?c=750000000,0,Бюджет,0
"конго qzerger базовая коллекция бижутерный сплав, без вставок",271,271,0%,0,0,all,https://kaspi.kz/shop/p/kongo-qzerger-bazovaja-kollektsija-bizhuternyi-splav-bez-vstavok-103875490/?c=750000000,0,Бюджет,0
"набор базовая коллекция медицинская сталь, без вставок",399,399,0%,0,0,all,https://kaspi.kz/shop/p/nabor-bazovaja-kollektsija-meditsinskaja-stal-bez-vstavok-110013921/?c=750000000,0,Бюджет,0
